team,season,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,made_playoffs
BOS,2002,96.35365854,34.7804878,82.08536585,42.50731707,8.524390244,23.73170732,35.84390244,18.26829268,23.90243902,76.10243902,10.86585366,31.34146341,42.20731707,21,13.58536585,9.670731707,3.56097561,21.65853659,2.207317073,0.597560976,1
BOS,2004,95.25609756,34.67073171,78.23170732,44.40853659,6.743902439,19.5,34.20121951,19.17073171,25.54878049,75.66463415,10.37804878,29.75609756,40.13414634,20.52439024,16.24390244,9.390243902,4.036585366,22.40243902,-1.451219512,0.43902439,1
BOS,2005,101.2682927,37.14634146,79.40243902,46.96341463,5.329268293,15.26829268,34.73658537,21.64634146,28.32926829,76.00121951,11.08536585,29.73170732,40.81707317,22.07317073,15.81707317,8.134146341,5.158536585,24.3902439,0.865853659,0.548780488,1
BOS,2006,97.96341463,35.98780488,77.09756098,46.87439024,5.695121951,15.73170732,36.14878049,20.29268293,26.87804878,75.26097561,9.914634146,29.65853659,39.57317073,20.92682927,16.57317073,7.048780488,5.146341463,24.79268293,-1.536585366,0.402439024,0
BOS,2007,95.81707317,34.85365854,78.70731707,44.4304878,5.743902439,15.64634146,36.5902439,20.36585366,26.56097561,76.79878049,11.19512195,29.15853659,40.35365854,19.87804878,16.46341463,7.182926829,4.658536585,24.03658537,-3.414634146,0.292682927,0
BOS,2008,100.5487805,36.41463415,76.65853659,47.5902439,7.268292683,19.07317073,37.67682927,20.45121951,26.53658537,76.95,10.12195122,31.8902439,42.01219512,22.35365854,15.19512195,8.487804878,4.62195122,22.73170732,10.25609756,0.804878049,1
BOS,2009,100.9146341,37.5,77.23170732,48.53902439,6.56097561,16.52439024,39.00487805,19.35365854,25.30487805,76.39878049,10.59756098,31.53658537,42.13414634,22.70731707,15.6097561,7.573170732,4.719512195,23.13414634,7.512195122,0.756097561,1
BOS,2010,99.2195122,37.06097561,76.75609756,48.44268293,6.085365854,17.47560976,34.16097561,19.01219512,25.48780488,74.06341463,8.731707317,29.86585366,38.59756098,23.53658537,14.86585366,8.548780488,4.902439024,22.14634146,3.658536585,0.609756098,1
BOS,2011,96.5,36.86585366,75.84146341,48.69390244,4.975609756,13.64634146,36.14512195,17.79268293,23.1097561,76.77682927,7.792682927,31,38.79268293,23.42682927,14.57317073,8.243902439,4.195121951,20.46341463,5.365853659,0.682926829,1
BOS,2012,91.84848485,35.46969697,77.06060606,46.19545455,5.5,14.96969697,36.10606061,15.40909091,19.81818182,78.58636364,7.712121212,31.07575758,38.78787879,23.59090909,14.83333333,7.545454545,5.484848485,19.92424242,2.515151515,0.590909091,1
BOS,2013,96.51851852,37.04938272,79.74074074,46.64197531,6.148148148,17.16049383,36.00493827,16.27160494,20.96296296,77.64814815,8.074074074,31.27160494,39.34567901,22.75308642,14.58024691,8.234567901,4.50617284,21.19753086,-0.222222222,0.50617284,1
BOS,2014,96.24390244,36.53658537,83.93902439,43.7,7.012195122,21.08536585,32.71707317,16.15853659,20.80487805,78.54146341,11.95121951,30.54878049,42.5,21.04878049,15.37804878,7.12195122,4.182926829,21.25609756,-4.463414634,0.304878049,0
BOS,2015,101.3658537,38.93902439,87.93902439,44.43292683,8.048780488,24.64634146,32.61829268,15.43902439,20.46341463,75.67439024,11.09756098,32.74390244,43.84146341,24.5,13.81707317,8.219512195,3.585365854,21.19512195,0.158536585,0.487804878,1
BOS,2016,105.7195122,39.2195122,89.24390244,44.01341463,8.743902439,26.12195122,33.5304878,18.53658537,23.52439024,78.8695122,11.58536585,33.32926829,44.91463415,24.15853659,13.74390244,9.170731707,4.243902439,21.90243902,3.207317073,0.585365854,1
BOS,2017,108.0121951,38.63414634,85.08536585,45.50243902,12.01219512,33.42682927,35.87439024,18.73170732,23.20731707,81.02317073,9.06097561,32.90243902,41.96341463,25.23170732,13.26829268,7.524390244,4.146341463,20.56097561,2.634146341,0.646341463,1
BOS,2018,104.0121951,38.30487805,85.06097561,45.12804878,11.45121951,30.3902439,38.12804878,15.95121951,20.69512195,77.16219512,9.353658537,35.09756098,44.45121951,22.46341463,14,7.365853659,4.548780488,19.73170732,3.585365854,0.670731707,1
BOS,2019,112.3902439,42.08536585,90.52439024,46.58292683,12.58536585,34.5,36.30121951,15.63414634,19.48780488,80.63780488,9.804878049,34.74390244,44.54878049,26.2804878,12.82926829,8.609756098,5.304878049,20.36585366,4.43902439,0.597560976,1
BOS,2020,113.6527778,41.26388889,89.55555556,46.19166667,12.56944444,34.54166667,36.58472222,18.55555556,23.16666667,80.29166667,10.66666667,35.40277778,46.06944444,22.98611111,13.81944444,8.263888889,5.638888889,21.56944444,6.305555556,0.666666667,1
BOS,2021,112.625,41.45833333,88.90277778,46.73611111,13.59722222,36.36111111,37.54722222,16.11111111,20.77777778,77.82916667,10.625,33.625,44.25,23.45833333,14.05555556,7.722222222,5.319444444,20.43055556,1.458333333,0.5,1
BOS,2022,111.7560976,40.74390244,87.40243902,46.70853659,13.23170732,37.12195122,35.24390244,17.03658537,20.8902439,81.64878049,10.52439024,35.54878049,46.07317073,24.82926829,13.63414634,7.207317073,5.829268293,18.54878049,7.280487805,0.62195122,1
BOS,2023,117.9390244,42.19512195,88.75609756,47.6304878,16.03658537,42.58536585,37.5402439,17.51219512,21.57317073,80.96463415,9.707317073,35.62195122,45.32926829,26.65853659,13.35365854,6.353658537,5.243902439,18.80487805,6.524390244,0.695121951,1
